Neuroticism (N-Score),Extroversion (E-Score),Openness (O-Score),Agreeableness (A-Score),Conscientiousness (C-Score),Impulsiveness (BIS-11),Sensation (SS),Alcohol,Amphetamines,Amyl nitrites,Benzos,Caffeine,Chocolate,Cocaine,Crack,Ecstasy,Heroin,Ketamine,Legal Highs,LSD,Methamphetamine,Magic Mushrooms,Nicotine,Semer,Inhalants/Volatiles,Age_18-24,Age_25-34,Age_35-44,Age_45-54,Age_55-64,Age_65+,Gender_F,Gender_M,Country_Australia,Country_Canada,Country_Ireland,Country_New Zealand,Country_Other,Country_UK,Country_USA,Ethnicity_Black-Asian,Ethnicity_Asian,Ethnicity_Black,Ethnicity_Other,Ethnicity_White,Ethnicity_White-Asian,Ethnicity_White-Black,Education_level,Alcohol_Frequent,Amphetamines_Frequent,Amyl_Frequent,Benzos_Frequent,Caffeine_Frequent,Chocolate_Frequent,Cocaine_Frequent,Crack_Frequent,Ecstasy_Frequent,Heroin_Frequent,Ketamine_Frequent,Legal_Highs_Frequent,LSD_Frequent,Methamphetamine_Frequent,Magic _Mushrooms_Frequent,Nicotine_Frequent,Semer_Frequent,Inhalants_Frequent,Ketamine_Frequent,Legal_Highs_Frequent,LSD_Frequent,Methamphetamine_Frequent,Magic _Mushrooms_Frequent,Nicotine_Frequent,Semer_Frequent,Inhalants_Frequent
0.429576361,0.772168939,0.630252101,0.747126437,0.897309592,0.444444444,0.6,0.833333333,0,0.166666667,0,1,0.833333333,0.333333333,0,0,0,0,0,0,0,0,0.333333333,0,0.166666667,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.396022029,0.690800703,0.781512605,0.655172414,0.640583573,0.555555556,0.9,0.833333333,0.166666667,0,0,1,0.833333333,0.333333333,0,0.5,0,0,0,0.166666667,0,0.333333333,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.932891337,0.70707435,0.81512605,0.67816092,0.606353437,0.777777778,0.6,0.833333333,0.166666667,0,0.666666667,1,0.833333333,0.166666667,0,0,0,0,0,0.166666667,0.166666667,0.166666667,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.463130692,0.772168939,0.764705882,0.873563218,1,0.222222222,0.3,0.166666667,0,0,0,0.833333333,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.650891086,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.446353526,0.837263528,0.81512605,0.75862069,0.911391582,0.777777778,0.8,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.3121362,0.511790583,0.579831933,0.724137931,0.858226531,0.222222222,0.4,0.833333333,0.333333333,0.333333333,0,1,0.833333333,0.333333333,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.363354666,0.593158819,0.56302521,0.827586207,0.822783164,0.333333333,0,1,0,0,0.166666667,1,0.833333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.681677333,0.544337877,0.731092437,0.770114943,0.539236227,0.111111111,0.3,1,0.166666667,0.166666667,0,1,0.666666667,0.166666667,0,0.166666667,0,0.333333333,0,0.166666667,0,0.166666667,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.81570793,0.674527055,0.74789916,0.655172414,0.521791804,0.222222222,0.5,1,0.333333333,0,0.333333333,1,1,0.333333333,0,0.333333333,0,0,0.333333333,0.166666667,0,0.166666667,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.530892912,0.479243288,0.478991597,0.655172414,0.822940559,0.111111111,0,0.666666667,0.166666667,0,0,1,1,0,0,0.166666667,0,0,0,0,1,0,0.166666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.463877613,0.772168939,0.848792884,0.91954023,0.57505734,0.444444444,0.5,1,0.166666667,0.166666667,0,1,1,0,0,0,0,0,0,0.166666667,0,0.166666667,0.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41361614,0.739621644,0.630382606,0.75862069,0.929176223,0.333333333,0.2,0.833333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.664923508,0.576885172,0.663984187,0.885057471,0.610469229,0.222222222,0.6,0.666666667,0,0,0,0.833333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.849215579,0.300233169,0.613581816,0.827586207,0.592763285,0.111111111,0.1,1,0.333333333,0.166666667,0.833333333,1,1,0.333333333,0,0,0.166666667,0,0,0.166666667,0,0,1,0,0.166666667,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.564400561,0.755895291,0.899195256,0.862068966,0.893764335,0.333333333,0.4,0.833333333,0.166666667,0.166666667,0.166666667,0.833333333,0.833333333,0.166666667,0,0.166666667,0,0,0,0.166666667,0,0.166666667,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.463877613,0.641979761,0.613581816,0.873563218,0.734410838,0.333333333,0.7,0.833333333,0.166666667,0.333333333,0,1,0.833333333,0.333333333,0,0.333333333,0,0,0.5,0.333333333,0,0.333333333,0.166666667,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.581154385,0.495516936,0.395171537,0.747126437,0.805234614,0.444444444,0.1,1,0,0,0.333333333,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.681677333,0.544337877,0.7651197,0.804597701,0.433409787,0.888888889,0.7,1,0.166666667,0.166666667,0.333333333,1,0.833333333,0.166666667,0,0,0,0,0.333333333,0.166666667,0,0.5,0.333333333,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.59790821,0.511790583,0.681233878,0.827586207,0.876252043,0.444444444,0.4,1,0,0,0,0.666666667,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.396862315,0.869810822,0.865782686,0.873563218,0.929286881,0.333333333,0.4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.648169684,0.593158819,0.614125221,0.689655172,0.646434407,0.111111111,0.6,1,0.166666667,0.166666667,0.166666667,1,1,0.166666667,0,0,0.166666667,0,0.166666667,0.166666667,0.166666667,0.166666667,0.333333333,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.41361614,0.593158819,0.781896864,0.75862069,0.734825805,0.111111111,0.3,0.5,0,0,0.333333333,0.5,0.833333333,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.650891086,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.463877613,0.544337877,0.7651197,0.83908046,0.734825805,0.444444444,0.3,1,0.166666667,0.166666667,0,1,1,0,0,0,0,0,0,0,0,0.166666667,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.664923508,0.658253408,0.798674028,0.896551724,0.717147526,0.222222222,0.1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.765446456,0.755895291,0.865782686,0.574712644,0.628756128,0.555555556,1,0.666666667,0.333333333,0.166666667,0.166666667,0.833333333,0.833333333,0.333333333,0.166666667,0.166666667,0.166666667,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.833333333,0,0.166666667,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.547646736,0.593158819,0.463130743,0.781609195,0.628756128,0.555555556,0.1,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.547646736,0.625706114,0.748342536,0.804597701,0.52268645,0.333333333,0.5,1,0,0,0,1,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.648169684,0.723347997,0.88255985,0.816091954,0.646434407,0.555555556,0.4,1,0.166666667,0.333333333,0.166666667,1,0.666666667,0.166666667,0,0,0,0,0,0.166666667,0,0.166666667,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.363354666,0.82098988,0.798674028,0.804597701,0.823217204,0.333333333,0.3,1,0.166666667,0,0,0.666666667,0.833333333,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.547646736,0.576885172,0.630902385,0.747126437,0.787860644,0.111111111,0.5,1,0,0,0,1,1,0,0,0,0,0,0.166666667,0,0.666666667,0,0.166666667,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0.59790821,0.641979761,0.7651197,0.643678161,0.823217204,0.222222222,0.6,0.833333333,0.166666667,0,0.333333333,1,1,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.731938807,0.690800703,0.88255985,0.931034483,0.681790967,0.333333333,0.5,0.666666667,0,0,0,0.666666667,1,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.564400561,0.576885172,0.614125221,0.804597701,0.646434407,0.333333333,0.4,1,0,0.5,0.833333333,1,0.666666667,1,0,0.666666667,0,0.333333333,0.333333333,0,0,0,0.166666667,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.447123789,0.625706114,0.731565371,0.793103448,0.593399568,0.333333333,0.5,1,0.333333333,0.333333333,0,1,1,0.5,0,0.333333333,0,0,0,0.333333333,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.430369964,0.837263528,0.815451193,0.896551724,0.840895483,0.333333333,0.6,0.833333333,0,0,0,1,0.833333333,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.514139087,0.739621644,0.899337014,0.873563218,0.911608602,0.111111111,0,0.833333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.648169684,0.755895291,0.630902385,0.827586207,0.893930322,0.222222222,0.3,0.5,0,0,0,1,0.666666667,0,0,0,0,0,0,0.166666667,0,0,0.333333333,0,0.166666667,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.650891086,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.313093192,0.772168939,0.798674028,0.873563218,0.858573763,0,0.2,0.833333333,0,0,0,1,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.614662035,0.593158819,0.731565371,0.793103448,0.646434407,0.444444444,0.3,1,0.166666667,0.166666667,0,1,1,0.166666667,0,0,0,0,0,0,0,0.166666667,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.731938807,0.625706114,0.5302394,0.735632184,0.770182365,0.555555556,0.9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.833333333,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.765446456,0.674527055,0.748342536,0.712643678,0.734825805,0.222222222,0.3,1,0.166666667,0.333333333,0.166666667,1,1,0.333333333,0,0.5,0,0,0.333333333,0.166666667,0,0.5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.78220028,0.788442586,0.698011043,0.735632184,0.469651611,0.888888889,1,0.333333333,0.166666667,0.166666667,0.166666667,1,1,0.166666667,0,0,0,0,0,0.166666667,0,0.166666667,0.333333333,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.564400561,0.690800703,0.597348057,0.827586207,0.628756128,0.555555556,0.1,0.833333333,0,0,0,1,0.833333333,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38010849,0.674527055,0.88255985,0.827586207,0.770182365,0.333333333,0.5,0.833333333,0.166666667,0.166666667,0,1,0.833333333,0.166666667,0,0.166666667,0,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.59790821,0.804716233,0.698011043,0.724137931,0.575721289,0.777777778,0.9,1,0,0,0,1,1,1,0,0.5,0,0,0.5,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.59790821,0.609432466,0.630902385,0.770114943,0.681790967,0.111111111,0,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.59790821,0.690800703,0.563793728,0.804597701,0.770182365,0.111111111,0.1,0.833333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.497385262,0.755895291,0.5302394,0.827586207,0.823217204,0.222222222,0.4,0.166666667,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.631415859,0.755895291,0.7651197,0.770114943,0.681790967,0.888888889,0.9,0.833333333,0.166666667,0.166666667,0,1,0.833333333,0.833333333,0.333333333,0.5,0.166666667,0.5,0.5,0.166666667,0,0.333333333,1,0,0.166666667,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.514139087,0.544337877,0.614125221,0.67816092,0.717147526,0.111111111,0.1,0.833333333,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.81570793,0.723347997,0.798674028,0.781609195,0.699469246,0.111111111,0.6,0.833333333,0,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.650891086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.296339367,0.853537175,0.899337014,0.816091954,0.876252043,0.111111111,0.2,0.833333333,0.166666667,0,0,0.666666667,0.833333333,0,0,0,0,0,0,0,0,0.166666667,0,0,0.166666667,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.497518248,0.52806423,0.547016564,0.701149425,0.787860644,0.111111111,0.2,0.833333333,0,0,0,0.833333333,0.833333333,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.765508516,0.658253408,0.681233878,0.75862069,0.734825805,0.111111111,0.2,0.833333333,0,0,0,1,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.363523114,0.739621644,0.88255985,0.770114943,0.840895483,0.111111111,0.4,1,0.166666667,0,0.166666667,1,0.833333333,0.666666667,0,0,0,0,0,0.166666667,0,0.166666667,0.166666667,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
